2018-12-12 04:14:41.998225: 18.80 F, 42.30 Humidity, 369 Light
2018-12-12 04:14:44.508355: 18.90 F, 42.40 Humidity, 373 Light
2018-12-12 04:14:47.021188: 18.90 F, 42.30 Humidity, 364 Light
2018-12-12 04:14:49.532223: 18.90 F, 42.30 Humidity, 357 Light
2018-12-12 04:14:52.043692: 18.90 F, 42.30 Humidity, 351 Light
2018-12-12 04:14:53.381148: 18.90 F, 42.30 Humidity, 351 Light
2018-12-12 04:14:55.893781: 18.90 F, 42.30 Humidity, 357 Light
2018-12-12 04:14:58.405293: 18.80 F, 42.20 Humidity, 364 Light
2018-12-12 04:15:00.916521: 18.90 F, 42.20 Humidity, 370 Light
2018-12-12 04:15:03.428496: 18.90 F, 42.20 Humidity, 370 Light
2018-12-12 04:15:04.762895: 18.90 F, 42.20 Humidity, 365 Light
2018-12-12 04:15:07.275565: 18.80 F, 42.10 Humidity, 359 Light
2018-12-12 04:15:09.785933: 18.80 F, 42.00 Humidity, 355 Light
2018-12-12 04:15:12.297424: 18.90 F, 42.20 Humidity, 351 Light
2018-12-12 04:15:14.810167: 18.90 F, 42.20 Humidity, 351 Light
2018-12-12 04:15:16.141752: 18.90 F, 42.10 Humidity, 349 Light
2018-12-12 04:15:18.652897: 18.80 F, 42.00 Humidity, 350 Light
2018-12-12 04:15:21.164186: 18.90 F, 42.10 Humidity, 355 Light
2018-12-12 04:15:23.676588: 18.90 F, 42.20 Humidity, 358 Light
2018-12-12 04:15:26.188847: 18.90 F, 42.20 Humidity, 361 Light
2018-12-12 04:15:27.523906: 18.80 F, 42.00 Humidity, 361 Light
2018-12-12 04:15:30.035418: 18.90 F, 42.20 Humidity, 366 Light
2018-12-12 04:15:32.545012: 18.90 F, 42.10 Humidity, 367 Light
2018-12-12 04:15:35.057359: 18.90 F, 42.20 Humidity, 369 Light
2018-12-12 04:15:37.569108: 18.90 F, 42.20 Humidity, 371 Light
2018-12-12 04:15:38.906095: 18.90 F, 42.30 Humidity, 367 Light
2018-12-12 04:15:41.418407: 18.90 F, 42.30 Humidity, 363 Light
2018-12-12 04:15:43.930602: 18.90 F, 42.20 Humidity, 360 Light
2018-12-12 04:15:46.443503: 18.90 F, 42.20 Humidity, 357 Light
2018-12-12 04:15:48.956313: 18.90 F, 42.30 Humidity, 354 Light
2018-12-12 04:15:50.284442: 18.90 F, 42.30 Humidity, 351 Light
2018-12-12 04:15:52.796308: 18.80 F, 42.20 Humidity, 350 Light
2018-12-12 04:15:55.308618: 18.80 F, 42.20 Humidity, 348 Light
2018-12-12 04:15:57.818917: 18.90 F, 42.30 Humidity, 353 Light
2018-12-12 04:16:00.330331: 18.80 F, 42.10 Humidity, 358 Light
2018-12-12 04:16:01.666629: 18.80 F, 42.10 Humidity, 360 Light
2018-12-12 04:16:04.176641: 18.80 F, 42.20 Humidity, 361 Light
2018-12-12 04:16:06.686260: 18.80 F, 42.20 Humidity, 368 Light
2018-12-12 04:16:09.197854: 18.90 F, 42.30 Humidity, 371 Light
